NS	GO_ID	dcnt	Depth	human_IC	mouse_IC	fly_IC	Diversity_IC	human_GeneCount	mouse_GeneCount	fly_GeneCount	Diversity_GeneCount	Name
MF	GO:0140911	0	1	0.0	0.0	0.0	0.0	0	0	0	0.0	pore-forming activity
MF	GO:0140912	0	1	0.0	0.0	0.0	0.0	0	0	0	0.0	membrane destabilizing activity
MF	GO:0141047	2	1	0.0	0.0	0.0	0.0	0	0	0	0.0	molecular tag activity
MF	GO:0180020	0	1	0.0	0.0	0.0	0.0	0	0	0	0.0	membrane bending activity
MF	GO:0180024	0	1	0.0	0.0	0.0	0.0	0	0	0	0.0	membrane grommet activity
BP	GO:0019952	31	1	0.0	0.0	0.0	0.0	0	0	0	0.0	reproduction
BP	GO:0050876	31	1	0.0	0.0	0.0	0.0	0	0	0	0.0	reproduction
MF	GO:0005478	1084	1	0.0	0.0	0.0	0.0	0	0	0	0.0	transporter activity
BP	GO:0044710	5838	1	0.0	0.0	0.0	0.0	0	0	0	0.0	metabolic process
BP	GO:0044236	5838	1	0.0	0.0	0.0	0.0	0	0	0	0.0	metabolic process
MF	GO:0009053	10	1	0.0	0.0	0.0	0.0	0	0	0	0.0	electron transfer activity
MF	GO:0009054	10	1	0.0	0.0	0.0	0.0	0	0	0	0.0	electron transfer activity
BP	GO:0044763	10614	1	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular process
BP	GO:0050875	10614	1	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular process
BP	GO:0008151	10614	1	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular process
BP	GO:0022415	177	1	0.0	0.0	0.0	0.0	0	0	0	0.0	viral process
BP	GO:0044702	793	1	0.0	0.0	0.0	0.0	0	0	0	0.0	reproductive process
BP	GO:0050874	1294	1	0.0	0.0	0.0	0.0	0	0	0	0.0	multicellular organismal process
BP	GO:0044707	1294	1	0.0	0.0	0.0	0.0	0	0	0	0.0	multicellular organismal process
BP	GO:0044767	3105	1	0.0	0.0	0.0	0.0	0	0	0	0.0	developmental process
CC	GO:0043234	2122	1	0.0	0.0	0.0	0.0	0	0	0	0.0	protein-containing complex
BP	GO:0048590	144	1	0.0	0.0	0.0	0.0	0	0	0	0.0	growth
BP	GO:0032844	195	1	0.0	0.0	0.0	0.0	0	0	0	0.0	homeostatic process
BP	GO:0032845	195	1	0.0	0.0	0.0	0.0	0	0	0	0.0	homeostatic process
BP	GO:0032846	195	1	0.0	0.0	0.0	0.0	0	0	0	0.0	homeostatic process
CC	GO:0019012	45	1	0.0	0.0	0.0	0.0	0	0	0	0.0	virion component
BP	GO:0051869	1895	1	0.0	0.0	0.0	0.0	0	0	0	0.0	response to stimulus
BP	GO:1902578	1967	1	0.0	0.0	0.0	0.0	0	0	0	0.0	localization
MF	GO:0032947	124	1	0.0	0.0	0.0	0.0	0	0	0	0.0	molecular adaptor activity
MF	GO:0050827	0	1	0.0	0.0	0.0	0.0	0	0	0	0.0	toxin activity
MF	GO:0034290	0	1	0.0	0.0	0.0	0.0	0	0	0	0.0	pore-forming activity
MF	GO:0034291	0	1	0.0	0.0	0.0	0.0	0	0	0	0.0	pore-forming activity
MF	GO:0034292	0	1	0.0	0.0	0.0	0.0	0	0	0	0.0	pore-forming activity
CC	GO:0000133	4	2	0.0	0.0	0.0	0.0	0	0	0	0.0	polarisome
MF	GO:0000146	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	microfilament motor activity
MF	GO:0000156	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	phosphorelay response regulator activity
CC	GO:0000242	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	pericentriolar material
CC	GO:0000399	3	2	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular bud neck septin structure
CC	GO:0000407	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	phagophore assembly site
CC	GO:0000408	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	EKC/KEOPS complex
CC	GO:0000417	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	HIR complex
CC	GO:0000796	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	condensin complex
CC	GO:0000800	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	lateral element
CC	GO:0000801	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	central element
CC	GO:0000802	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	transverse filament
CC	GO:0000808	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	origin recognition complex
BP	GO:0000920	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	septum digestion after cytokinesis
CC	GO:0000922	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	spindle pole
CC	GO:0000930	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	gamma-tubulin complex
CC	GO:0000939	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	inner kinetochore
CC	GO:0000940	1	2	0.0	0.0	0.0	0.0	0	0	0	0.0	outer kinetochore
CC	GO:0000943	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	retrotransposon nucleocapsid
CC	GO:0000974	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	Prp19 complex
MF	GO:0000995	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	RNA polymerase III general transcription initiation factor activity
MF	GO:0001070	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	RNA-binding transcription regulator activity
MF	GO:0001072	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	transcription antitermination factor activity, RNA binding
MF	GO:0001073	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	transcription antitermination factor activity, DNA binding
CC	GO:0001114	1	2	0.0	0.0	0.0	0.0	0	0	0	0.0	protein-DNA-RNA complex
MF	GO:0001181	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	RNA polymerase I general transcription initiation factor activity
CC	GO:0001400	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	mating projection base
BP	GO:0001503	10	2	0.0	0.0	0.0	0.0	0	0	0	0.0	ossification
CC	GO:0001534	3	2	0.0	0.0	0.0	0.0	0	0	0	0.0	radial spoke
CC	GO:0001535	3	2	0.0	0.0	0.0	0.0	0	0	0	0.0	radial spoke head
CC	GO:0001536	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	radial spoke stalk
CC	GO:0001650	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	fibrillar center
CC	GO:0001651	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	dense fibrillar component
CC	GO:0001652	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	granular component
CC	GO:0001750	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	photoreceptor outer segment
CC	GO:0001772	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	immunological synapse
BP	GO:0001775	155	2	0.0	0.0	0.0	0.0	0	0	0	0.0	cell activation
CC	GO:0001891	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	phagocytic cup
BP	GO:0001906	29	2	0.0	0.0	0.0	0.0	0	0	0	0.0	cell killing
CC	GO:0001917	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	photoreceptor inner segment
CC	GO:0002096	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	polkadots
CC	GO:0002133	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	polycystin complex
CC	GO:0002139	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	stereocilia coupling link
CC	GO:0002142	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	stereocilia ankle link complex
CC	GO:0002167	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	VRK3/VHR/ERK complex
CC	GO:0002177	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	manchette
CC	GO:0002193	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	MAML1-RBP-Jkappa- ICN1 complex
CC	GO:0002199	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	zona pellucida receptor complex
BP	GO:0002200	35	2	0.0	0.0	0.0	0.0	0	0	0	0.0	somatic diversification of immune receptors
BP	GO:0002252	136	2	0.0	0.0	0.0	0.0	0	0	0	0.0	immune effector process
BP	GO:0002339	9	2	0.0	0.0	0.0	0.0	0	0	0	0.0	B cell selection
BP	GO:0002404	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	antigen sampling in mucosal-associated lymphoid tissue
BP	GO:0002507	33	2	0.0	0.0	0.0	0.0	0	0	0	0.0	tolerance induction
BP	GO:0002532	10	2	0.0	0.0	0.0	0.0	0	0	0	0.0	production of molecular mediator involved in inflammatory response
CC	GO:0002929	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	MECO complex
BP	GO:0003006	352	2	0.0	0.0	1.252762968495368	-0.0	0	0	0	0.0	developmental process involved in reproduction
BP	GO:0003008	338	2	0.0	0.0	1.9459101490553135	-0.0	0	0	0	0.0	system process
MF	GO:0003700	11	2	0.0	0.0	0.0	0.0	0	0	0	0.0	DNA-binding transcription factor activity
MF	GO:0003711	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	transcription elongation factor activity
MF	GO:0003735	0	2	0.0	0.0	1.3862943611198906	-0.0	0	0	2	-0.0	structural constituent of ribosome
MF	GO:0003777	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	microtubule motor activity
MF	GO:0003789	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	actin filament severing activity
MF	GO:0003823	5	2	0.0	0.0	0.0	0.0	0	0	0	0.0	antigen binding
MF	GO:0004133	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	glycogen debranching enzyme activity
MF	GO:0004873	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	asialoglycoprotein receptor activity
MF	GO:0004998	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	transferrin receptor activity
MF	GO:0005044	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	scavenger receptor activity
MF	GO:0005199	1	2	0.0	0.0	0.0	0.0	0	0	0	0.0	structural constituent of cell wall
MF	GO:0005200	3	2	0.0	0.0	0.0	0.0	0	0	0	0.0	structural constituent of cytoskeleton
MF	GO:0005201	7	2	0.0	0.0	0.0	0.0	0	0	0	0.0	extracellular matrix structural constituent
MF	GO:0005212	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	structural constituent of eye lens
MF	GO:0005213	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	structural constituent of egg chorion
MF	GO:0005319	71	2	0.0	0.0	0.0	0.0	0	0	0	0.0	lipid transporter activity
MF	GO:0005344	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	oxygen carrier activity
MF	GO:0005515	920	2	0.0	1.2039728043259361	1.3862943611198906	0.6906679546811225	0	1	2	0.6365141682948128	protein binding
MF	GO:0005549	1	2	0.0	0.0	0.0	0.0	0	0	0	0.0	odorant binding
CC	GO:0005576	4	2	0.0	2.3025850929940455	0.0	-0.0	0	1	0	-0.0	extracellular region
CC	GO:0005577	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	fibrinogen complex
CC	GO:0005581	36	2	0.0	0.0	0.0	0.0	0	0	0	0.0	collagen trimer
CC	GO:0005602	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	complement component C1 complex
CC	GO:0005615	0	2	0.10536051565782628	0.0	0.0	-0.0	9	0	0	-0.0	extracellular space
CC	GO:0005616	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	larval serum protein complex
CC	GO:0005621	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular bud scar
CC	GO:0005622	27	2	0.0	0.0	0.0	0.0	0	0	0	0.0	intracellular anatomical structure
CC	GO:0005630	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	dityrosine layer of spore wall
CC	GO:0005631	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	chitosan layer of spore wall
CC	GO:0005632	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	inner layer of spore wall
CC	GO:0005652	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	nuclear lamina
CC	GO:0005654	0	2	0.0	1.6094379124341003	1.9459101490553135	0.6886622640698201	0	2	1	0.6365141682948128	nucleoplasm
CC	GO:0005657	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	replication fork
CC	GO:0005663	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	DNA replication factor C complex
CC	GO:0005667	85	2	0.0	0.0	0.0	0.0	0	0	0	0.0	transcription regulator complex
CC	GO:0005702	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	polytene chromosome weak point
CC	GO:0005706	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	polytene chromosome ectopic fiber
CC	GO:0005712	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	chiasma
CC	GO:0005713	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	recombination nodule
CC	GO:0005726	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	perichromatin fibrils
CC	GO:0005737	28	2	2.3025850929940455	1.6094379124341003	0.8472978603872037	1.025167684099036	1	2	3	1.0114042647073518	cytoplasm
CC	GO:0005815	19	2	0.0	2.3025850929940455	1.9459101490553135	0.6896189558298694	0	0	0	0.0	microtubule organizing center
CC	GO:0005821	1	2	0.0	0.0	0.0	0.0	0	0	0	0.0	intermediate layer of spindle pole body
CC	GO:0005822	1	2	0.0	0.0	0.0	0.0	0	0	0	0.0	inner plaque of spindle pole body
CC	GO:0005823	1	2	0.0	0.0	0.0	0.0	0	0	0	0.0	central plaque of spindle pole body
CC	GO:0005824	1	2	0.0	0.0	0.0	0.0	0	0	0	0.0	outer plaque of spindle pole body
CC	GO:0005825	1	2	0.0	0.0	0.0	0.0	0	0	0	0.0	half bridge of spindle pole body
CC	GO:0005829	3	2	2.3025850929940455	0.916290731874155	0.0	0.5973024169178888	1	4	0	0.5004024235381879	cytosol
CC	GO:0005831	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	steroid hormone aporeceptor complex
CC	GO:0005833	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	hemoglobin complex
CC	GO:0005838	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	proteasome regulatory particle
CC	GO:0005850	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	eukaryotic translation initiation factor 2 complex
CC	GO:0005851	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	eukaryotic translation initiation factor 2B complex
CC	GO:0005852	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	eukaryotic translation initiation factor 3 complex
CC	GO:0005853	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	eukaryotic translation elongation factor 1 complex
CC	GO:0005854	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	nascent polypeptide-associated complex
CC	GO:0005861	1	2	0.0	0.0	0.0	0.0	0	0	0	0.0	troponin complex
CC	GO:0005862	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	muscle thin filament tropomyosin
CC	GO:0005875	15	2	0.0	0.0	0.0	0.0	0	0	0	0.0	microtubule associated complex
CC	GO:0005885	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	Arp2/3 protein complex
CC	GO:0005930	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	axoneme
CC	GO:0005931	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	axonemal nexin link
CC	GO:0005933	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular bud
BP	GO:0006276	3	2	0.0	0.0	0.0	0.0	0	0	0	0.0	plasmid maintenance
BP	GO:0006457	10	2	0.0	0.0	1.9459101490553135	-0.0	0	0	1	-0.0	protein folding
BP	GO:0006807	3369	2	2.3025850929940455	2.3025850929940455	1.9459101490553135	1.0955895574884127	0	0	0	0.0	nitrogen compound metabolic process
BP	GO:0006903	10	2	0.0	0.0	0.0	0.0	0	0	0	0.0	vesicle targeting
BP	GO:0006950	398	2	0.0	2.3025850929940455	1.9459101490553135	0.6896189558298694	0	0	0	0.0	response to stress
BP	GO:0006955	101	2	0.10536051565782628	0.0	0.0	-0.0	9	0	0	-0.0	immune response
BP	GO:0007017	185	2	0.0	0.0	1.252762968495368	-0.0	0	0	0	0.0	microtubule-based process
BP	GO:0007049	11	2	0.0	2.3025850929940455	1.9459101490553135	0.6896189558298694	0	0	0	0.0	cell cycle
BP	GO:0007117	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	budding cell bud growth
BP	GO:0007154	233	2	0.0	0.0	0.0	0.0	0	0	0	0.0	cell communication
BP	GO:0007155	95	2	0.0	0.0	0.0	0.0	0	0	0	0.0	cell adhesion
BP	GO:0007163	61	2	0.0	0.0	0.0	0.0	0	0	0	0.0	establishment or maintenance of cell polarity
BP	GO:0007272	14	2	0.0	0.0	0.0	0.0	0	0	0	0.0	ensheathment of neurons
BP	GO:0007340	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	acrosome reaction
BP	GO:0007389	244	2	0.0	0.0	1.9459101490553135	-0.0	0	0	0	0.0	pattern specification process
BP	GO:0007566	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	embryo implantation
BP	GO:0007585	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	respiratory gaseous exchange by respiratory system
BP	GO:0007586	3	2	0.0	0.0	0.0	0.0	0	0	0	0.0	digestion
BP	GO:0007610	140	2	0.0	0.0	1.252762968495368	-0.0	0	0	0	0.0	behavior
BP	GO:0007623	18	2	0.0	0.0	0.0	0.0	0	0	0	0.0	circadian rhythm
BP	GO:0007624	1	2	0.0	0.0	0.0	0.0	0	0	0	0.0	ultradian rhythm
BP	GO:0008037	25	2	0.0	0.0	0.0	0.0	0	0	0	0.0	cell recognition
CC	GO:0008091	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	spectrin
MF	GO:0008147	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	structural constituent of bone
MF	GO:0008186	7	2	0.0	0.0	0.0	0.0	0	0	0	0.0	ATP-dependent activity, acting on RNA
MF	GO:0008196	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	vitellogenin receptor activity
BP	GO:0008219	104	2	0.0	1.6094379124341003	0.0	-0.0	0	0	0	0.0	cell death
CC	GO:0008278	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	cohesin complex
BP	GO:0008283	161	2	0.0	0.0	0.0	0.0	0	0	0	0.0	cell population proliferation
MF	GO:0008289	97	2	0.0	0.0	0.0	0.0	0	0	0	0.0	lipid binding
CC	GO:0008290	1	2	0.0	0.0	0.0	0.0	0	0	0	0.0	F-actin capping protein complex
MF	GO:0008307	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	structural constituent of muscle
MF	GO:0008316	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	structural constituent of vitelline membrane
BP	GO:0008340	0	2	0.0	0.0	1.9459101490553135	-0.0	0	0	1	-0.0	determination of adult lifespan
CC	GO:0008537	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	proteasome activator complex
CC	GO:0008540	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	proteasome regulatory particle, base subcomplex
CC	GO:0008541	2	2	0.0	0.0	0.0	0.0	0	0	0	0.0	proteasome regulatory particle, lid subcomplex
BP	GO:0009056	1302	2	2.3025850929940455	2.3025850929940455	0.0	0.6931471805599453	0	0	0	0.0	catabolic process
BP	GO:0009058	1740	2	0.10536051565782628	0.0	1.9459101490553135	0.20251068877702672	0	0	0	0.0	biosynthetic process
BP	GO:0009292	4	2	0.0	0.0	0.0	0.0	0	0	0	0.0	horizontal gene transfer
CC	GO:0009295	5	2	0.0	0.0	0.0	0.0	0	0	0	0.0	nucleoid
CC	GO:0009418	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	pilus shaft
CC	GO:0009419	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	pilus tip
CC	GO:0009420	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	bacterial-type flagellum filament
CC	GO:0009421	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	bacterial-type flagellum filament cap
CC	GO:0009422	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	bacterial-type flagellum hook-filament junction
CC	GO:0009424	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	bacterial-type flagellum hook
CC	GO:0009425	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	bacterial-type flagellum basal body
CC	GO:0009426	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	bacterial-type flagellum basal body, distal rod
CC	GO:0009427	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	bacterial-type flagellum basal body, distal rod, L ring
CC	GO:0009428	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	bacterial-type flagellum basal body, distal rod, P ring
CC	GO:0009429	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	bacterial-type flagellum basal body, proximal rod
CC	GO:0009431	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	bacterial-type flagellum basal body, MS ring
CC	GO:0009433	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	bacterial-type flagellum basal body, C ring
CC	GO:0009504	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	cell plate
CC	GO:0009510	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	plasmodesmatal desmotubule
CC	GO:0009524	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	phragmoplast
CC	GO:0009525	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	phragmosome
CC	GO:0009532	8	2	0.0	0.0	0.0	0.0	0	0	0	0.0	plastid stroma
CC	GO:0009541	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	etioplast prolamellar body
CC	GO:0009542	0	2	0.0	0.0	0.0	0.0	0	0	0	0.0	granum
